,id_student,code_module,code_presentation,score_CMA,score_Exam,score_TMA,valid_submission,late_submission,weighted_score,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,total_clickSum,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,final_result
0,6516,0,3,0,0,63.5,5,0,63.5,1,6,1,7,2,0,5,0,2535,21,0,0,0,387,0,440,0,0,1397,0,0,0,0,0,0,20,0,131,139,1
1,24734,0,3,0,0,47.5,1,4,47.5,0,8,2,5,0,0,5,0,469,0,0,0,0,158,0,123,0,1,148,0,0,0,0,0,0,4,0,26,9,1
2,26192,0,3,0,0,86.3,5,0,86.3,0,0,0,5,1,0,5,0,1982,8,0,0,0,114,0,466,0,0,1031,0,0,0,0,0,0,4,0,215,144,1
3,28061,0,3,0,0,77.4,4,1,77.4,1,12,2,3,1,0,5,0,1241,7,0,0,0,240,0,321,0,5,414,0,0,0,0,0,0,16,0,139,99,1
4,31600,0,3,0,0,55.5,2,3,55.5,0,9,0,3,0,0,5,0,339,0,0,0,0,166,0,50,0,0,93,0,0,0,0,0,0,3,0,25,2,1
5,46844,0,3,0,0,66.5,5,0,66.5,1,4,1,2,1,0,5,0,323,0,0,0,0,96,0,80,0,1,78,0,0,0,0,0,0,30,0,36,2,1
6,52765,0,3,0,0,61.5,4,1,61.5,0,12,2,0,1,0,17,0,4048,4,0,0,0,1741,0,779,0,1,1275,0,0,0,0,0,0,18,0,143,87,1
7,55104,0,3,0,0,71.3,3,2,71.3,0,11,0,5,0,0,5,0,1124,0,0,0,0,279,0,220,0,0,467,0,0,0,0,0,0,11,0,98,49,1
8,58071,0,3,0,0,74.9,1,4,74.9,1,0,1,8,2,0,5,0,2246,10,0,0,0,245,0,501,0,4,1379,0,0,0,0,0,0,23,0,76,8,1
9,58316,0,3,0,0,72.9,4,1,72.9,0,10,0,6,0,0,17,0,1149,0,0,0,0,44,0,319,0,1,600,0,0,0,0,0,0,12,0,135,38,1
10,62487,0,3,0,0,70.6,3,2,70.6,0,1,0,9,0,0,5,0,667,7,0,0,0,42,1,153,0,0,363,0,0,0,0,0,0,7,0,78,16,1
11,63165,0,3,0,0,52.1,2,3,52.1,1,7,0,7,1,0,5,0,904,0,0,0,0,177,0,175,0,0,462,0,0,0,0,0,0,14,0,60,16,1
12,70011,0,3,0,0,81.3,5,0,81.3,0,6,1,3,0,0,5,0,6105,18,0,0,0,2334,0,1400,0,0,1954,0,0,0,0,0,0,30,0,217,152,1
13,75255,0,3,0,0,83,3,2,83,1,5,0,3,0,0,17,0,885,0,0,0,0,81,0,165,0,0,564,0,0,0,0,0,0,14,0,45,16,1
15,85092,0,3,0,0,46.4,3,1,46.4,0,9,2,2,0,0,5,0,639,0,0,0,0,164,0,117,0,0,258,0,0,0,0,0,0,9,0,65,26,1
16,85144,0,3,0,0,78.8,5,0,78.8,1,6,0,4,1,0,5,0,622,0,0,0,0,194,0,182,0,0,172,0,0,0,0,0,0,10,0,45,19,1
17,85302,0,3,0,0,71,3,2,71,1,3,2,7,1,0,5,0,2208,21,0,0,0,178,0,640,0,0,1011,0,0,0,0,0,0,32,0,216,110,1
